time,n_trips,avg_miles,avg_duration[s]
1325376000,14474.0,2.9328666,764.1055
1325379600,15225.0,3.099577,819.52985
1325383200,13908.0,3.2165132,790.5917
1325386800,12030.0,3.3123114,744.66876
1325390400,9233.0,3.5563507,713.4773
1325394000,5733.0,3.9453833,720.6984
1325397600,3854.0,4.3987517,715.34796
1325401200,3064.0,4.4923983,673.48303
1325404800,3022.0,4.0659184,611.85474
1325408400,4034.0,3.5084257,575.11206
1325412000,5685.0,3.2007394,554.85767
1325415600,7282.0,3.1011117,571.96814
1325419200,8850.0,2.9562821,585.09674
1325422800,9577.0,3.0151515,621.97504
1325426400,9844.0,3.284507,675.2615
1325430000,9544.0,3.1396987,684.1101
1325433600,9250.0,3.0170789,688.50854
1325437200,9603.0,2.9824748,742.8511
1325440800,10617.0,2.6557214,723.6801
1325444400,9996.0,2.8506308,676.1659
1325448000,10604.0,2.545238,624.90625
1325451600,7989.0,2.939128,614.3751
1325455200,7399.0,3.0869558,593.2968
1325458800,7704.0,3.2751572,599.35956
1325462400,13045.0,3.336635,600.32684
1325466000,9178.0,3.260563,581.49207
1325469600,6309.0,3.1768734,571.5083
1325473200,4352.0,3.6426222,623.10297
1325476800,3574.0,4.8259854,702.56964
1325480400,3070.0,6.197456,748.4075
1325484000,4143.0,5.7773924,718.8648
1325487600,5313.0,4.9287567,640.3032
1325491200,7669.0,3.7153554,568.2731
1325494800,11033.0,3.2364562,547.9922
1325498400,14009.0,2.9912817,549.61365
1325502000,16850.0,2.9102159,567.344
1325505600,19488.0,2.838452,577.22205
1325509200,20441.0,2.8598423,606.1241
1325512800,21782.0,3.1630535,657.3141
1325516400,22080.0,3.0490506,670.57263
1325520000,20752.0,2.9942434,650.8822
1325523600,21944.0,2.9708393,661.118
1325527200,23466.0,2.8496964,641.878
1325530800,21365.0,2.6986883,590.6692
1325534400,17921.0,3.057933,597.9265
1325538000,16752.0,3.216471,598.5545
1325541600,16656.0,3.2837198,606.50885
1325545200,12073.0,3.7054048,619.7624
1325548800,9062.0,4.0439277,643.99457
1325552400,5454.0,3.8275614,620.5759
1325556000,3502.0,3.6177888,609.8198
1325559600,2393.0,3.7109346,618.57294
1325563200,2444.0,4.8442965,685.88544
1325566800,3999.0,4.7203574,635.1153
1325570400,11531.0,3.5127428,599.0049
1325574000,20829.0,2.9140666,647.08234
1325577600,26061.0,2.570258,680.943
1325581200,23841.0,2.5358572,663.26135
1325584800,19900.0,2.768573,667.84485
1325588400,19660.0,2.5658965,651.3699
1325592000,21044.0,2.5843797,648.6269
1325595600,21219.0,2.673008,650.4857
1325599200,23251.0,2.719651,669.889
1325602800,23758.0,2.6847568,679.6454
1325606400,20646.0,2.7604606,668.63873
1325610000,25362.0,2.6321056,682.1771
1325613600,30712.0,2.4943106,665.5853
1325617200,29502.0,2.5068312,592.7552
1325620800,25433.0,2.8113816,588.22943
1325624400,23838.0,2.96387,602.7029
1325628000,19619.0,3.0084894,603.0622
1325631600,14592.0,3.4628315,629.525
1325635200,10959.0,3.4443536,618.3541
1325638800,6354.0,3.6423426,626.74896
1325642400,3830.0,3.5762901,617.61804
1325646000,2657.0,3.553726,620.66016
1325649600,2393.0,4.5450954,678.12665
1325653200,3646.0,4.084097,587.2167
1325656800,11687.0,3.0826015,556.745
1325660400,22878.0,2.5934927,620.36237
1325664000,28838.0,2.3554535,683.3205
1325667600,27237.0,2.3478403,680.4037
1325671200,22242.0,2.3574498,676.9907
1325674800,21619.0,2.4159484,679.101
1325678400,23063.0,2.3588977,669.0437
1325682000,22919.0,2.535759,685.98615
1325685600,23901.0,2.6996763,723.73157
1325689200,24309.0,2.6659772,724.92096
1325692800,20748.0,2.559435,673.1316
1325696400,25707.0,2.5554755,693.012
1325700000,31441.0,2.416857,677.07416
1325703600,31748.0,2.5160851,632.4139
1325707200,27470.0,2.7561126,617.0925
1325710800,25722.0,2.9511445,621.7314
1325714400,23954.0,3.1471038,640.43756
1325718000,17300.0,3.2400637,632.5498
1325721600,11472.0,3.3316736,622.0188
1325725200,7070.0,3.501009,616.4328
1325728800,4450.0,3.3569877,601.2306
1325732400,3104.0,3.4708154,609.9092
1325736000,2563.0,4.22553,650.7612
1325739600,3652.0,3.835601,560.90826
1325743200,11440.0,3.01596,542.4478
1325746800,23423.0,2.6270964,630.26654
1325750400,29212.0,2.4084988,733.3553
1325754000,26509.0,2.3044639,757.56415
1325757600,22509.0,2.4023027,718.3996
1325761200,21346.0,2.4691055,719.5005
1325764800,22572.0,2.3962367,726.6314
1325768400,22425.0,2.5311573,706.93933
1325772000,24693.0,2.7084744,726.8672
1325775600,23834.0,2.6740186,738.9373
1325779200,20084.0,2.7399035,714.50555
1325782800,24818.0,2.547797,723.2984
1325786400,31362.0,2.4441493,717.5192
1325790000,31936.0,2.4720945,651.69275
1325793600,29967.0,2.782296,638.6143
1325797200,28804.0,2.9260564,635.88696
1325800800,27326.0,3.0300279,645.2472
1325804400,22190.0,3.116946,638.5263
1325808000,15583.0,3.1985285,643.63306
1325811600,10378.0,3.177884,614.32056
1325815200,6928.0,3.2220418,610.7097
1325818800,4511.0,3.4887903,623.45575
1325822400,3622.0,4.2439795,661.32056
1325826000,4094.0,4.3097787,613.16534
1325829600,11137.0,3.1236897,546.3957
1325833200,21761.0,2.6296136,620.87573
1325836800,27708.0,2.402047,717.7976
1325840400,26067.0,2.3450608,715.1918
1325844000,22201.0,2.3835557,674.08154
1325847600,21926.0,2.4544504,681.41364
1325851200,23358.0,2.434178,672.41547
1325854800,22651.0,2.5817885,686.6251
1325858400,24185.0,2.6739788,781.7996
1325862000,22272.0,2.7243133,813.2675
1325865600,19159.0,2.7280724,750.3265
1325869200,24691.0,2.5784981,739.67694
1325872800,31208.0,2.4758425,724.067
1325876400,34193.0,2.4917629,679.8018
1325880000,31392.0,2.6304789,661.2767
1325883600,29078.0,2.747901,648.28876
1325887200,30683.0,2.7940905,666.0587
1325890800,30475.0,2.8753684,677.7143
1325894400,28582.0,2.9516585,700.33307
1325898000,24964.0,3.0360205,662.32654
1325901600,20676.0,3.1386368,654.5152
1325905200,15682.0,3.3833761,662.9341
1325908800,9644.0,3.8082924,679.31647
1325912400,4319.0,4.8459907,701.1632
1325916000,4548.0,4.523191,647.73944
1325919600,7112.0,3.5426447,572.0742
1325923200,10431.0,2.9207275,530.60596
1325926800,15639.0,2.5641298,524.7565
1325930400,19136.0,2.498214,547.9024
1325934000,21802.0,2.4801786,589.84485
1325937600,23855.0,2.4824486,611.9442
1325941200,24634.0,2.4567335,641.15076
1325944800,24078.0,2.6236126,669.85693
1325948400,24379.0,2.6867445,687.4709
1325952000,22949.0,2.6285977,672.0465
1325955600,25867.0,2.6380537,698.9075
1325959200,29880.0,2.4906514,695.3692
1325962800,32818.0,2.4448006,706.76886
1325966400,28682.0,2.5455937,696.99316
1325970000,27357.0,2.6784067,690.8362
1325973600,31075.0,2.633239,691.42706
1325977200,34024.0,2.7193372,722.8337
1325980800,31642.0,2.8691928,737.7878
1325984400,27928.0,2.992588,699.69794
1325988000,24074.0,3.1535163,672.975
1325991600,18529.0,3.3671634,675.7486
1325995200,11179.0,3.7548678,689.0444
1325998800,4686.0,4.6095586,684.10583
1326002400,3989.0,4.593197,650.7478
1326006000,5441.0,4.10944,593.9489
1326009600,8997.0,3.2689984,553.09906
1326013200,13151.0,2.772418,510.7102
1326016800,18590.0,2.6868577,538.6089
1326020400,21681.0,2.545395,562.7271
1326024000,25323.0,2.5734031,596.3842
1326027600,25439.0,2.683926,613.6763
1326031200,24331.0,2.901469,655.3885
1326034800,23196.0,3.025463,661.574
1326038400,23296.0,2.9355748,661.68396
1326042000,24124.0,2.8940232,676.9183
1326045600,25733.0,2.8154016,653.1556
1326049200,22133.0,2.7836087,616.3615
1326052800,21230.0,2.9912498,601.55927
1326056400,18745.0,3.1396017,598.9501
1326060000,16488.0,3.417944,616.7359
1326063600,12221.0,3.5284717,615.78235
1326067200,8399.0,3.7356896,626.4336
1326070800,5352.0,3.9051764,646.7298
1326074400,3361.0,3.5091217,615.4674
1326078000,2415.0,3.7450528,633.03107
1326081600,2480.0,4.9416676,706.2258
1326085200,4237.0,4.8376765,636.14185
1326088800,11879.0,3.4124634,586.3057
1326092400,21814.0,2.7991333,643.7067
1326096000,27810.0,2.6130335,721.94464
1326099600,25161.0,2.5157201,698.05066
1326103200,20452.0,2.5854006,678.8937
1326106800,19729.0,2.6169815,671.44586
1326110400,20577.0,2.5110376,639.80554
1326114000,20116.0,2.6464727,654.2311
1326117600,21989.0,2.7446806,684.78925
1326121200,22253.0,2.7393386,703.6676
1326124800,20208.0,2.7837684,683.99475
1326128400,24970.0,2.6029778,689.7413
1326132000,29880.0,2.4356766,683.1488
1326135600,29392.0,2.576529,617.16895
1326139200,26011.0,2.8047779,600.5808
1326142800,22997.0,3.1014612,616.43097
1326146400,21134.0,3.1274397,622.38074
1326150000,16159.0,3.2504916,619.75134
1326153600,10086.0,3.4597435,620.78186
1326157200,5939.0,3.295231,596.86646
1326160800,3756.0,3.5191686,617.3882
1326164400,2518.0,3.779519,634.4309
1326168000,2406.0,4.38126,658.7544
1326171600,3774.0,4.448365,610.78326
1326175200,11619.0,3.0582361,548.3685
