time[s],avg_wind_speed[m_s],avg_precip[ml],avg_snow[cm]
1325376000,5.7,0.0,0.0
1325379600,5.7,0.0,0.0
1325383200,5.7,0.0,0.0
1325386800,5.7,0.0,0.0
1325390400,3.1,0.0,0.0
1325394000,4.6,0.0,0.0
1325397600,4.6,0.0,0.0
1325401200,3.6,0.0,0.0
1325404800,0.0,0.0,0.0
1325408400,1.3,0.0,0.0
1325412000,4.6,0.0,0.0
1325415600,2.6,0.0,0.0
1325419200,1.3,0.0,0.0
1325422800,2.1,0.0,0.0
1325426400,2.1,0.0,0.0
1325430000,2.1,0.0,0.0
1325433600,3.6,0.0,0.0
1325437200,6.2,0.0,0.0
1325440800,6.95,0.0,0.0
1325444400,10.8,0.0,0.0
1325448000,11.3,0.0,0.0
1325451600,8.75,0.0,0.0
1325455200,5.7,0.0,0.0
1325458800,6.7,0.0,0.0
1325462400,6.45,0.0,0.0
1325466000,9.3,1.3,0.0
1325469600,7.2,0.5,0.0
1325473200,6.45,1.0,0.0
1325476800,3.6,0.9,0.0
1325480400,6.2,0.0,0.0
1325484000,9.0,1.0,0.0
1325487600,5.7,0.0,0.0
1325491200,10.3,0.0,0.0
1325494800,9.8,0.0,0.0
1325498400,9.3,0.0,0.0
1325502000,11.3,0.0,0.0
1325505600,9.5,0.9,0.0
1325509200,7.7,0.0,0.0
1325512800,11.8,0.0,0.0
1325516400,10.8,0.0,0.0
1325520000,8.2,0.0,0.0
1325523600,9.8,0.0,0.0
1325527200,9.3,0.0,0.0
1325530800,9.8,0.0,0.0
1325534400,8.2,0.0,0.0
1325538000,8.2,0.0,0.0
1325541600,9.8,0.0,0.0
1325545200,9.8,0.0,0.0
1325548800,9.8,0.0,0.0
1325552400,6.2,0.0,0.0
1325556000,6.7,0.0,0.0
1325559600,6.45,0.0,0.0
1325563200,3.35,0.0,0.0
1325566800,5.7,0.0,0.0
1325570400,5.4,0.0,0.0
1325574000,5.7,0.0,0.0
1325577600,4.6,0.0,0.0
1325581200,4.85,0.0,0.0
1325584800,7.7,0.0,0.0
1325588400,6.2,0.0,0.0
1325592000,6.45,0.0,0.0
1325595600,10.3,0.0,0.0
1325599200,10.8,0.0,0.0
1325602800,9.5,0.0,0.0
1325606400,11.3,0.0,0.0
1325610000,9.8,0.0,0.0
1325613600,9.3,0.0,0.0
1325617200,8.2,0.0,0.0
1325620800,9.8,0.0,0.0
1325624400,9.3,0.0,0.0
1325628000,9.3,0.0,0.0
1325631600,9.8,0.0,0.0
1325635200,9.3,0.0,0.0
1325638800,8.8,0.0,0.0
1325642400,8.8,0.0,0.0
1325646000,9.25,0.0,0.0
1325649600,4.65,0.0,0.0
1325653200,9.8,0.0,0.0
1325656800,8.5,0.0,0.0
1325660400,6.7,0.0,0.0
1325664000,4.1,0.0,0.0
1325667600,4.6,0.0,0.0
1325671200,6.7,0.0,0.0
1325674800,4.1,0.0,0.0
1325678400,4.1,0.0,0.0
1325682000,5.1,0.0,0.0
1325685600,4.1,0.0,0.0
1325689200,4.6,0.0,0.0
1325692800,4.1,0.0,0.0
1325696400,3.6,0.0,0.0
1325700000,3.35,0.0,0.0
1325703600,3.1,0.0,0.0
1325707200,5.7,0.0,0.0
1325710800,5.4,0.0,0.0
1325714400,6.7,0.0,0.0
1325718000,8.2,0.0,0.0
1325721600,6.95,0.0,0.0
1325725200,7.7,0.0,0.0
1325728800,5.7,0.0,0.0
1325732400,6.7,0.0,0.0
1325736000,2.3,0.0,0.0
1325739600,4.6,0.0,0.0
1325743200,4.35,0.0,0.0
1325746800,5.7,0.0,0.0
1325750400,5.7,0.0,0.0
1325754000,4.65,0.0,0.0
1325757600,4.6,0.0,0.0
1325761200,5.1,0.0,0.0
1325764800,4.35,0.0,0.0
1325768400,4.6,0.0,0.0
1325772000,4.6,0.0,0.0
1325775600,5.65,0.0,0.0
1325779200,6.2,0.0,0.0
1325782800,6.7,0.0,0.0
1325786400,6.7,0.0,0.0
1325790000,7.7,0.0,0.0
1325793600,6.7,0.0,0.0
1325797200,8.0,0.0,0.0
1325800800,7.2,0.0,0.0
1325804400,6.2,0.0,0.0
1325808000,5.65,0.0,0.0
1325811600,3.6,0.0,0.0
1325815200,3.6,0.0,0.0
1325818800,3.85,0.0,0.0
1325822400,1.55,0.0,0.0
1325826000,2.6,0.0,0.0
1325829600,2.85,0.0,0.0
1325833200,5.1,0.0,0.0
1325836800,3.1,0.0,0.0
1325840400,4.4,0.0,0.0
1325844000,6.7,0.0,0.0
1325847600,6.2,0.0,0.0
1325851200,6.95,0.0,0.0
1325854800,6.2,0.0,0.0
1325858400,4.1,0.0,0.0
1325862000,4.35,0.0,0.0
1325865600,6.2,0.0,0.0
1325869200,6.7,0.0,0.0
1325872800,6.45,0.15,0.0
1325876400,6.2,0.0,0.0
1325880000,4.1,0.0,0.0
1325883600,4.9,0.0,0.0
1325887200,3.1,0.0,0.0
1325890800,4.1,0.0,0.0
1325894400,3.1,0.0,0.0
1325898000,0.0,0.0,0.0
1325901600,2.6,0.0,0.0
1325905200,2.85,0.0,0.0
1325908800,2.05,0.0,0.0
1325912400,3.1,0.0,0.0
1325916000,3.1,0.0,0.0
1325919600,3.1,0.0,0.0
1325923200,4.1,0.0,0.0
1325926800,3.6,0.0,0.0
1325930400,3.1,0.0,0.0
1325934000,2.6,0.0,0.0
1325937600,3.35,0.0,0.0
1325941200,3.6,0.0,0.0
1325944800,3.6,0.0,0.0
1325948400,4.1,0.0,0.0
1325952000,6.7,0.0,0.0
1325955600,5.7,0.0,0.0
1325959200,5.4,0.0,0.0
1325962800,6.2,0.0,0.0
1325966400,3.6,0.0,0.0
1325970000,4.9,0.0,0.0
1325973600,5.7,0.0,0.0
1325977200,5.1,0.0,0.0
1325980800,5.1,0.0,0.0
1325984400,5.1,0.0,0.0
1325988000,4.1,0.0,0.0
1325991600,6.45,0.0,0.0
1325995200,4.1,0.0,0.0
